date,artist,track,genre,duration_seconds,play_count,source
2025-01-01,Disclosure,Magnets,Electronic,411,273,playlist
2025-01-01,Yuja Wang,Rondo Capriccioso,Classical,609,98,playlist
2025-01-01,Robert Glasper,So Beautiful,Jazz,535,94,search
2025-01-01,Clairo,Pretty Girl,Indie,280,127,search
2025-01-02,Hilary Hahn,Sonata No 3,Classical,408,32,album
2025-01-02,Frank Ocean,Thinkin Bout You,R&B,271,569,album
2025-01-02,Bonobo,Kerala,Electronic,367,294,search
2025-01-03,ODESZA,A Moment Apart,Electronic,361,171,search
2025-01-04,Robert Glasper,F.T.B.,Jazz,319,128,playlist
2025-01-04,Disclosure,Magnets,Electronic,461,382,radio
2025-01-04,Kendrick Lamar,Money Trees,Hip-Hop,212,164,radio
2025-01-04,Tyler the Creator,See You Again,Hip-Hop,223,1298,playlist
2025-01-05,The Weeknd,Blinding Lights,Pop,232,886,search
2025-01-05,Tyler the Creator,See You Again,Hip-Hop,286,1300,search
2025-01-05,Taylor Swift,Shake It Off,Pop,227,1265,radio
2025-01-05,Arctic Monkeys,505,Rock,207,417,playlist
2025-01-07,Hilary Hahn,Partita No 2,Classical,882,59,search
2025-01-07,Jorja Smith,Be Honest,R&B,208,635,search
2025-01-07,Led Zeppelin,Kashmir,Rock,243,474,radio
2025-01-07,Arctic Monkeys,R U Mine,Rock,267,478,album
2025-01-08,boy pablo,Everytime,Indie,340,59,radio
2025-01-08,J. Cole,Middle Child,Hip-Hop,287,788,liked
2025-01-09,Led Zeppelin,Kashmir,Rock,349,434,search
2025-01-09,The Weeknd,Save Your Tears,Pop,227,1059,playlist
2025-01-11,Hilary Hahn,Sonata No 3,Classical,479,15,search
2025-01-11,Kendrick Lamar,DNA,Hip-Hop,291,1497,album
2025-01-12,HER,Damage,R&B,219,623,playlist
2025-01-13,Mac DeMarco,Freaking Out the Neighborhood,Indie,191,310,playlist
2025-01-13,J. Cole,No Role Modelz,Hip-Hop,205,329,radio
2025-01-13,Daft Punk,Instant Crush,Electronic,295,396,liked
2025-01-14,Drake,Gods Plan,Hip-Hop,231,601,album
2025-01-14,Foo Fighters,Everlong,Rock,246,316,search
2025-01-14,Bonobo,Bambro Koyo Ganda,Electronic,428,274,playlist
2025-01-15,Arctic Monkeys,Do I Wanna Know,Rock,247,377,playlist
2025-01-15,Harry Styles,Watermelon Sugar,Pop,222,12575,radio
2025-01-15,Radiohead,Karma Police,Rock,326,413,search
2025-01-17,Frank Ocean,Thinkin Bout You,R&B,304,343,playlist
2025-01-17,Olivia Rodrigo,drivers license,Pop,232,402,album
2025-01-17,Jamie xx,Loud Places,Electronic,252,229,playlist
2025-01-17,Daft Punk,Around the World,Electronic,359,129,search
2025-01-18,Taylor Swift,Shake It Off,Pop,210,1563,search
2025-01-18,Max Richter,Dream 3,Classical,894,100,search
2025-01-19,Disclosure,Magnets,Electronic,431,207,playlist
2025-01-19,Robert Glasper,So Beautiful,Jazz,264,111,album
2025-01-19,Yuja Wang,Piano Concerto No 2,Classical,596,33,album
2025-01-19,Harry Styles,As It Was,Pop,252,259,playlist
2025-01-20,Olivia Rodrigo,drivers license,Pop,238,1466,search
2025-01-20,Frank Ocean,Pink + White,R&B,303,618,album
2025-01-21,Clairo,Bags,Indie,308,196,radio
2025-01-21,HER,Damage,R&B,209,420,playlist
2025-01-21,Max Richter,On the Nature of Daylight,Classical,790,64,album
2025-01-22,Taylor Swift,Cruel Summer,Pop,235,630,playlist
2025-01-22,Olivia Rodrigo,vampire,Pop,232,958,playlist
2025-01-22,Drake,One Dance,Hip-Hop,281,535,search
2025-01-22,Harry Styles,Adore You,Pop,219,1015,search
2025-01-22,SZA,Kill Bill,Hip-Hop,226,1434,playlist
2025-01-22,Phoebe Bridgers,I Know the End,Indie,190,325,search
2025-01-22,Tyler the Creator,NEW MAGIC WAND,Hip-Hop,297,1221,playlist
