day,artist,track,genre,duration_seconds,play_count,source
08-Mar-2025,Kendrick Lamar,HUMBLE,Hip-Hop,202,1211,playlist
08-Mar-2025,Steve Lacy,Dark Red,R&B,214,562,playlist
09-Mar-2025,Alfa Mist,People,Jazz,482,141,TEST
09-Mar-2025,Harry Styles,As It Was,Pop,200,1759,search
09-Mar-2025,Dua Lipa,New Rules,Pop,175,1308,album
10-Mar-2025,SZA,Kiss Me More,Hip-Hop,300,1390,album
10-Mar-2025,Harry Styles,As It Was,Pop,268,876,search
10-Mar-2025,Disclosure,Latch,Electronic,396,331,radio
10-Mar-2025,Daft Punk,Instant Crush,Electronic,306,135,album
10-Mar-2025,The Rolling Stones,Paint It Black,Rock,225,335,search
11-Mar-2025,Foo Fighters,Everlong,Rock,382,230,playlist
11-Mar-2025,Steve Lacy,Bad Habit,R&B,261,555,TEST
11-Mar-2025,GoGo Penguin,Raven,Jazz,433,117,search
11-Mar-2025,Jorja Smith,Blue Lights,R&B,295,259,search
12-Mar-2025,ODESZA,Line of Sight,Electronic,468,293,search
12-Mar-2025,SZA,Kill Bill,Hip-Hop,204,1146,search
12-Mar-2025,Clairo,Sofia,Indie,360,239,radio
13-Mar-2025,GoGo Penguin,Raven,Jazz,249,21,playlist
13-Mar-2025,Daniel Caesar,Best Part,R&B,251,683,search
13-Mar-2025,Phoebe Bridgers,Kyoto,Indie,184,89,album
13-Mar-2025,Jorja Smith,Be Honest,R&B,257,450,TEST
14-Mar-2025,Daft Punk,Get Lucky,Electronic,373,178,search
16-Mar-2025,The Weeknd,Save Your Tears,Pop,260,1728,playlist
16-Mar-2025,Drake,Gods Plan,Hip-Hop,216,330,search
16-Mar-2025,Tyler the Creator,EARFQUAKE,Hip-Hop,181,915,playlist
16-Mar-2025,Nubya Garcia,Together Is a Beautiful Place to Be,Jazz,566,125,album
16-Mar-2025,SZA,Kill Bill,Hip-Hop,274,741,search
17-Mar-2025,Drake,Hotline Bling,Hip-Hop,185,366,radio
17-Mar-2025,The Beatles,Something,Rock,182,18103,radio
18-Mar-2025,Phoebe Bridgers,Motion Sickness,Indie,258,80,search
18-Mar-2025,Drake,One Dance,Hip-Hop,233,1016,playlist
18-Mar-2025,Kendrick Lamar,HUMBLE,Hip-Hop,292,1013,search
19-Mar-2025,Radiohead,Karma Police,Rock,343,271,radio
19-Mar-2025,Bonobo,Kerala,Electronic,300,193,search
20-Mar-2025,Kamasi Washington,Fists of Fury,Jazz,528,146,radio
20-Mar-2025,The Weeknd,Blinding Lights,Pop,202,1676,search
20-Mar-2025,Olivia Rodrigo,vampire,Pop,249,1989,playlist
21-Mar-2025,Arctic Monkeys,R U Mine,Rock,346,399,playlist
21-Mar-2025,Radiohead,No Surprises,Rock,255,249,search
22-Mar-2025,Steve Lacy,Mercury,R&B,240,218,radio
23-Mar-2025,The Weeknd,Save Your Tears,Pop,244,1986,radio
24-Mar-2025,Alfa Mist,People,Jazz,297,129,playlist
25-Mar-2025,Tyler the Creator,See You Again,Hip-Hop,194,1094,search
25-Mar-2025,Led Zeppelin,Whole Lotta Love,Rock,383,193,album
26-Mar-2025,SZA,Kill Bill,Hip-Hop,208,670,playlist
27-Mar-2025,Daft Punk,Get Lucky,Electronic,246,219,album
27-Mar-2025,Harry Styles,As It Was,Pop,164,1375,playlist
27-Mar-2025,The Rolling Stones,Gimme Shelter,Rock,313,228,search
27-Mar-2025,The Rolling Stones,Paint It Black,Rock,331,133,search
28-Mar-2025,Harry Styles,Watermelon Sugar,Pop,259,1372,search
28-Mar-2025,Tyler the Creator,See You Again,Hip-Hop,271,330,radio
28-Mar-2025,The Rolling Stones,Gimme Shelter,Rock,316,407,radio
29-Mar-2025,Phoebe Bridgers,I Know the End,Indie,203,88,playlist
29-Mar-2025,Led Zeppelin,Whole Lotta Love,Rock,299,396,radio
29-Mar-2025,Robert Glasper,So Beautiful,Jazz,566,60,liked
29-Mar-2025,Drake,Hotline Bling,Hip-Hop,293,327,search
29-Mar-2025,boy pablo,Everytime,Indie,309,100,album
31-Mar-2025,Foo Fighters,The Pretender,Rock,243,364,playlist
